HITS 40     oxDNA AND crossover AND "DNA origami" AND energy
   PMC9232119   2021   Design Approaches and Computational Tools for DNA Nanostructures.
   PMC8501967   2021   Rapid prototyping of arbitrary 2D and 3D wireframe DNA origami.
   PMC8306452   2021   DNA-Grafted 3D Superlattice Self-Assembly.
   PMC7718922   2020   Revealing the structures of megadalton-scale DNA complexes with nucleotide resolution.
   PMC7276390   2020   <i>In silico</i> modelling of DNA nanostructures.
   PMC9853505   2023   Design, Mechanical Properties, and Dynamics of Synthetic DNA Filaments.
   PMC7727707   2020   Insights into the Structure and Energy of DNA Nanoassemblies.
   PMC8628606   2021   Chemically modified nucleic acids and DNA intercalators as tools for nanoparticle assembly.
   PMC7315441   2020   Exceptional Nuclease Resistance of Paranemic Crossover (PX) DNA and Crossover-Dependent Biostability of DNA Mo
   PMC6314877   2019   Autonomously designed free-form 2D DNA origami.
